ts,mem_used_mb,mem_total_mb,gpu_util,gpu_mem_util
1758873997.047861,23871,24576,0,0
1758873997.5490024,23871,24576,0,0
1758873998.050769,23871,24576,0,0
1758873998.5524411,23871,24576,0,0
1758873999.0533695,23871,24576,0,0
1758873999.5542123,23871,24576,0,0
1758874000.0557163,23871,24576,0,0
1758874000.5567725,23871,24576,0,0
1758874001.058147,23871,24576,0,0
1758874001.5596514,23871,24576,0,0
1758874002.0612004,23871,24576,0,0
1758874002.56219,23871,24576,0,0
1758874003.063049,23871,24576,0,0
1758874003.564012,23871,24576,0,0
1758874004.0653634,23871,24576,0,0
1758874004.5671446,23871,24576,0,0
1758874005.0681598,23871,24576,0,0
1758874005.5693853,23871,24576,0,0
1758874006.0701878,23871,24576,0,0
1758874006.5713139,23871,24576,0,0
1758874007.0725877,23871,24576,0,0
1758874007.5740314,23871,24576,0,0
1758874008.0755749,23871,24576,0,0
1758874008.5771232,23871,24576,0,0
1758874009.0787392,23871,24576,0,0
1758874009.57993,23871,24576,0,0
1758874010.0812535,23871,24576,0,0
1758874010.5829892,23871,24576,0,0
1758874011.0843434,23871,24576,0,0
1758874011.5859141,23871,24576,0,0
1758874012.0884182,23871,24576,0,0
1758874012.5896175,23871,24576,0,0
1758874013.090933,23871,24576,0,0
1758874013.5917382,23871,24576,0,0
1758874014.0931983,23871,24576,0,0
1758874014.5946612,23871,24576,0,0
1758874015.0961652,23871,24576,0,0
1758874015.597099,23871,24576,0,0
1758874016.0983398,23871,24576,0,0
1758874016.6004245,23871,24576,0,0
1758874017.101595,23871,24576,0,0
1758874017.6033113,23871,24576,0,0
1758874018.1043808,23871,24576,0,0
1758874018.6058922,23871,24576,0,0
1758874019.1068091,23871,24576,0,0
1758874019.6087856,23871,24576,0,0
