request_id,enqueue_time,send_time,first_byte_time,end_time,prompt_tokens,resp_tokens,bytes_received,status,error
278b63f0-9534-41f8-83dd-8d2add257f1a,1758871615.0518022,1758871615.051882,,1758871615.0518916,121,,,,"'""model""'"
d405ce7e-9868-46b9-a8d4-fcb5ac4719d3,1758871615.0672255,1758871615.0673058,,1758871615.067315,18,,,,"'""model""'"
cf459f36-54ac-4edb-a0e0-2fb84940f30d,1758871615.0726519,1758871615.0727327,,1758871615.0727422,43,,,,"'""model""'"
8312990d-ba76-4b64-b09b-e9fed9a26d14,1758871615.081078,1758871615.081158,,1758871615.0811675,41,,,,"'""model""'"
3c94abb4-3cd2-470b-afae-74af91a26854,1758871615.1245158,1758871615.124595,,1758871615.1246045,65,,,,"'""model""'"
94a6e6ff-7dbb-430a-a615-b9fa58cf15d3,1758871615.1399384,1758871615.1400187,,1758871615.1400282,20,,,,"'""model""'"
95a0f997-fc03-4c55-92d7-d9cae51343a6,1758871615.175367,1758871615.1754467,,1758871615.1754558,64,,,,"'""model""'"
b2a1f872-a04f-496b-a561-bceb1504e8f4,1758871615.1945658,1758871615.1946454,,1758871615.194655,20,,,,"'""model""'"
6a496ea8-dacb-4ef8-92b2-cfc60abc704b,1758871615.2259736,1758871615.2260535,,1758871615.2260628,114,,,,"'""model""'"
c5480faf-ff40-46dd-ba4e-69446d6a5bab,1758871615.243406,1758871615.2434852,,1758871615.243495,36,,,,"'""model""'"
916ae305-3522-42ec-ad12-291856cfc49e,1758871615.2738082,1758871615.273888,,1758871615.273897,13,,,,"'""model""'"
3856f121-bb6b-4c61-b6cf-e5ad1760e2d1,1758871615.2802296,1758871615.2803087,,1758871615.2803183,12,,,,"'""model""'"
82046e48-8e20-4864-8b2d-e0c38bc465e6,1758871615.2946732,1758871615.2947528,,1758871615.2947621,120,,,,"'""model""'"
50d66f38-d1db-4918-bcfd-58c6c0cf0ec7,1758871615.310073,1758871615.310153,,1758871615.3101625,20,,,,"'""model""'"
d29eac7e-3aaf-4aa5-8280-2b1f20ed81e4,1758871615.3295004,1758871615.3296003,,1758871615.3296096,92,,,,"'""model""'"
